angry0,angry1,angry2,angry3,box0,box1,box2,box3,disgust0,disgust1,disgust2,disgust3,fear0,fear1,fear2,fear3,happy0,happy1,happy2,happy3,neutral0,neutral1,neutral2,neutral3,sad0,sad1,sad2,sad3,surprise0,surprise1,surprise2,surprise3
0.01,0.18,,,[139  88  74  74],[389  51  94  94],,,0.0,0.0,,,0.0,0.26,,,0.32,0.04,,,0.67,0.08,,,0.0,0.04,,,0.0,0.39,,
0.01,0.1,,,[139  88  74  74],[388  49  96  96],,,0.0,0.0,,,0.0,0.42,,,0.29,0.06,,,0.7,0.02,,,0.0,0.04,,,0.0,0.36,,
0.0,0.17,,,[140  88  73  73],[387  47  96  96],,,0.0,0.0,,,0.0,0.27,,,0.34,0.06,,,0.65,0.06,,,0.0,0.1,,,0.0,0.34,,
0.0,0.09,,,[140  88  73  73],[386  47  98  98],,,0.0,0.0,,,0.0,0.22,,,0.32,0.07,,,0.67,0.01,,,0.0,0.05,,,0.0,0.55,,
0.0,0.17,,,[140  88  73  73],[384  46  98  98],,,0.0,0.0,,,0.0,0.19,,,0.33,0.15,,,0.66,0.05,,,0.0,0.1,,,0.0,0.34,,
0.01,0.03,,,[140  88  72  72],[383  47  99  99],,,0.0,0.0,,,0.0,0.0,,,0.19,0.84,,,0.79,0.01,,,0.0,0.0,,,0.0,0.11,,
0.0,0.0,,,[140  88  73  73],[382  47  99  99],,,0.0,0.0,,,0.0,0.0,,,0.34,0.95,,,0.65,0.01,,,0.0,0.0,,,0.0,0.04,,
0.04,0.02,,,[140  88  74  74],[383  47  95  95],,,0.0,0.0,,,0.03,0.0,,,0.43,0.89,,,0.48,0.04,,,0.02,0.0,,,0.01,0.05,,
0.03,0.1,,,[141  88  73  73],[382  47  93  93],,,0.0,0.0,,,0.03,0.02,,,0.15,0.6,,,0.61,0.09,,,0.18,0.02,,,0.0,0.16,,
0.02,0.09,,,[144  89  71  71],[381  46  95  95],,,0.0,0.0,,,0.03,0.03,,,0.24,0.5,,,0.67,0.15,,,0.04,0.02,,,0.0,0.21,,
0.01,0.12,,,[146  89  70  70],[381  47  93  93],,,0.0,0.0,,,0.01,0.01,,,0.18,0.52,,,0.78,0.26,,,0.01,0.02,,,0.0,0.06,,
